weight_set,weights,thresholds,leak_rate,refractory,dm,overall,TP_N,TP_S,TP_V,TP_F,TP_Q
from_file,2|0|-12|-5|-31|7|8|10|9|8,50|50|50|50|50,8,2,12,0.8147,0.9025,0.0087,0.1668,0,0.1429
from_file,2|0|-12|-5|-31|7|8|10|9|8,50|50|50|50|50,12,2,12,0.7033,0.746,0.0016,0.6022,0,0.2857
from_file,2|0|-12|-5|-31|7|8|10|9|8,50|50|50|50|50,16,2,12,0.6845,0.7245,0.0005,0.609,0,0.2857
from_file,2|0|-12|-5|-31|7|8|10|9|8,50|50|50|50|50,20,2,12,0.676,0.715,0,0.6081,0,0.2857
from_file,2|0|-12|-5|-31|7|8|10|9|8,60|60|60|60|60,8,2,12,0.7985,0.8794,0.0103,0.2345,0,0.1429
from_file,2|0|-12|-5|-31|7|8|10|9|8,60|60|60|60|60,12,2,12,0.795,0.8718,0.0142,0.2826,0,0.1429
from_file,2|0|-12|-5|-31|7|8|10|9|8,60|60|60|60|60,16,2,12,0.7431,0.7967,0.0147,0.5127,0,0.1429
from_file,2|0|-12|-5|-31|7|8|10|9|8,60|60|60|60|60,20,2,12,0.7334,0.7862,0.0136,0.5081,0,0.1429
from_file,2|0|-12|-5|-31|7|8|10|9|8,70|70|70|70|70,8,2,12,0.803,0.8828,0.0201,0.2516,0,0.2857
from_file,2|0|-12|-5|-31|7|8|10|9|8,70|70|70|70|70,12,2,12,0.812,0.8931,0.0152,0.2522,0,0.2857
from_file,2|0|-12|-5|-31|7|8|10|9|8,70|70|70|70|70,16,2,12,0.7756,0.8325,0.0109,0.5245,0,0.2857
from_file,2|0|-12|-5|-31|7|8|10|9|8,70|70|70|70|70,20,2,12,0.7668,0.8214,0.0207,0.5348,0,0.2857
from_file,2|0|-12|-5|-31|7|8|10|9|8,80|80|80|80|80,8,2,12,0.8028,0.8774,0.0114,0.3267,0,0.2857
from_file,2|0|-12|-5|-31|7|8|10|9|8,80|80|80|80|80,12,2,12,0.7921,0.8654,0.006,0.3295,0,0.2857
from_file,2|0|-12|-5|-31|7|8|10|9|8,80|80|80|80|80,16,2,12,0.8002,0.8782,0.0022,0.2814,0,0.2857
from_file,2|0|-12|-5|-31|7|8|10|9|8,80|80|80|80|80,20,2,12,0.8013,0.8711,0.0005,0.3953,0,0.2857
from_file,2|0|-12|-5|-31|7|8|10|9|8,90|90|90|90|90,8,2,12,0.7886,0.8617,0.0109,0.3242,0,0.2857
from_file,2|0|-12|-5|-31|7|8|10|9|8,90|90|90|90|90,12,2,12,0.795,0.8691,0.0142,0.3189,0,0.2857
from_file,2|0|-12|-5|-31|7|8|10|9|8,90|90|90|90|90,16,2,12,0.7961,0.8705,0.0142,0.3171,0,0.2857
from_file,2|0|-12|-5|-31|7|8|10|9|8,90|90|90|90|90,20,2,12,0.7896,0.8623,0.0114,0.3301,0,0.2857
from_file,2|0|-12|-5|-31|7|8|10|9|8,100|100|100|100|100,8,2,12,0.7515,0.825,0.0142,0.2534,0,0.4286
from_file,2|0|-12|-5|-31|7|8|10|9|8,100|100|100|100|100,12,2,12,0.7719,0.8483,0.012,0.2497,0,0.4286
from_file,2|0|-12|-5|-31|7|8|10|9|8,100|100|100|100|100,16,2,12,0.7769,0.8533,0.0136,0.2568,0,0.4286
from_file,2|0|-12|-5|-31|7|8|10|9|8,100|100|100|100|100,20,2,12,0.7751,0.8498,0.0147,0.277,0,0.4286
